HOCOID SYMBOL ENSEMBL COLLECTION EXPERIMENT QUALITY
FOXF1.H12INVIVO.0.P.C FOXF1 ENSG00000103241 H12INVIVO P C
SALL1.H12INVIVO.0.P.C SALL1 ENSG00000103449 H12INVIVO P C
MAZ.H12INVIVO.0.P.B MAZ ENSG00000103495 H12INVIVO P B
MAZ.H12INVIVO.1.P.B MAZ ENSG00000103495 H12INVIVO P B
TRPS1.H12INVIVO.0.P.B TRPS1 ENSG00000104447 H12INVIVO P B
RELB.H12INVIVO.0.P.B RELB ENSG00000104856 H12INVIVO P B
LYL1.H12INVIVO.0.P.C LYL1 ENSG00000104903 H12INVIVO P C
LYL1.H12INVIVO.1.P.C LYL1 ENSG00000104903 H12INVIVO P C
CRX.H12INVIVO.0.PSM.A CRX ENSG00000105392 H12INVIVO PSM A
DBP.H12INVIVO.0.SM.D DBP ENSG00000105516 H12INVIVO SM D
KLF1.H12INVIVO.0.P.B KLF1 ENSG00000105610 H12INVIVO P B
ETV2.H12INVIVO.0.S.B ETV2 ENSG00000105672 H12INVIVO S B
ETV2.H12INVIVO.1.PM.A ETV2 ENSG00000105672 H12INVIVO PM A
USF2.H12INVIVO.0.PSM.A USF2 ENSG00000105698 H12INVIVO PSM A
ERF.H12INVIVO.0.PS.A ERF ENSG00000105722 H12INVIVO PS A
SP4.H12INVIVO.0.P.C SP4 ENSG00000105866 H12INVIVO P C
SP4.H12INVIVO.1.S.B SP4 ENSG00000105866 H12INVIVO S B
SP4.H12INVIVO.2.P.B SP4 ENSG00000105866 H12INVIVO P B
DLX5.H12INVIVO.0.PSM.A DLX5 ENSG00000105880 H12INVIVO PSM A
TFEC.H12INVIVO.0.M.D TFEC ENSG00000105967 H12INVIVO M D
TFEC.H12INVIVO.1.SM.D TFEC ENSG00000105967 H12INVIVO SM D
EVX1.H12INVIVO.0.SM.D EVX1 ENSG00000106038 H12INVIVO SM D
PAX4.H12INVIVO.0.SM.D PAX4 ENSG00000106331 H12INVIVO SM D
PAX4.H12INVIVO.1.S.D PAX4 ENSG00000106331 H12INVIVO S D
NRF1.H12INVIVO.0.PS.A NRF1 ENSG00000106459 H12INVIVO PS A
MEOX2.H12INVIVO.0.SM.D MEOX2 ENSG00000106511 H12INVIVO SM D
AHR.H12INVIVO.0.P.B AHR ENSG00000106546 H12INVIVO P B
GLI3.H12INVIVO.0.PS.A GLI3 ENSG00000106571 H12INVIVO PS A
GLI3.H12INVIVO.1.M.C GLI3 ENSG00000106571 H12INVIVO M C
LHX2.H12INVIVO.0.PS.A LHX2 ENSG00000106689 H12INVIVO PS A
LHX2.H12INVIVO.1.S.C LHX2 ENSG00000106689 H12INVIVO S C
LHX6.H12INVIVO.0.P.B LHX6 ENSG00000106852 H12INVIVO P B
LHX6.H12INVIVO.1.S.B LHX6 ENSG00000106852 H12INVIVO S B
LHX6.H12INVIVO.2.M.C LHX6 ENSG00000106852 H12INVIVO M C
CREB3.H12INVIVO.0.SM.D CREB3 ENSG00000107175 H12INVIVO SM D
LHX3.H12INVIVO.0.P.B LHX3 ENSG00000107187 H12INVIVO P B
GLIS3.H12INVIVO.0.P.C GLIS3 ENSG00000107249 H12INVIVO P C
GLIS3.H12INVIVO.1.S.C GLIS3 ENSG00000107249 H12INVIVO S C
GATA3.H12INVIVO.0.PS.A GATA3 ENSG00000107485 H12INVIVO PS A
GATA3.H12INVIVO.1.SM.B GATA3 ENSG00000107485 H12INVIVO SM B
PITX3.H12INVIVO.0.SM.D PITX3 ENSG00000107859 H12INVIVO SM D
PITX3.H12INVIVO.1.S.D PITX3 ENSG00000107859 H12INVIVO S D
COE3.H12INVIVO.0.P.B COE3 ENSG00000108001 H12INVIVO P B
MLX.H12INVIVO.0.PM.A MLX ENSG00000108788 H12INVIVO PM A
MLX.H12INVIVO.1.SM.B MLX ENSG00000108788 H12INVIVO SM B
DLX4.H12INVIVO.0.SM.D DLX4 ENSG00000108813 H12INVIVO SM D
DLX4.H12INVIVO.1.S.D DLX4 ENSG00000108813 H12INVIVO S D
HLF.H12INVIVO.0.P.B HLF ENSG00000108924 H12INVIVO P B
HLF.H12INVIVO.1.SM.B HLF ENSG00000108924 H12INVIVO SM B
NFKB1.H12INVIVO.0.PS.A NFKB1 ENSG00000109320 H12INVIVO PS A
ELF2.H12INVIVO.0.PS.A ELF2 ENSG00000109381 H12INVIVO PS A
ELF2.H12INVIVO.1.M.B ELF2 ENSG00000109381 H12INVIVO M B
KLF3.H12INVIVO.0.PS.A KLF3 ENSG00000109787 H12INVIVO PS A
KLF3.H12INVIVO.1.M.C KLF3 ENSG00000109787 H12INVIVO M C
SOX6.H12INVIVO.0.P.B SOX6 ENSG00000110693 H12INVIVO P B
PRDM4.H12INVIVO.0.PSM.A PRDM4 ENSG00000110851 H12INVIVO PSM A
MYF6.H12INVIVO.0.SM.D MYF6 ENSG00000111046 H12INVIVO SM D
MYF5.H12INVIVO.0.P.B MYF5 ENSG00000111049 H12INVIVO P B
GLI1.H12INVIVO.0.P.C GLI1 ENSG00000111087 H12INVIVO P C
FOXM1.H12INVIVO.0.P.B FOXM1 ENSG00000111206 H12INVIVO P B
CUX2.H12INVIVO.0.P.C CUX2 ENSG00000111249 H12INVIVO P C
CUX2.H12INVIVO.1.SM.B CUX2 ENSG00000111249 H12INVIVO SM B
CUX2.H12INVIVO.2.S.C CUX2 ENSG00000111249 H12INVIVO S C
VDR.H12INVIVO.0.PS.A VDR ENSG00000111424 H12INVIVO PS A
VDR.H12INVIVO.1.PS.A VDR ENSG00000111424 H12INVIVO PS A
NANOG.H12INVIVO.0.P.B NANOG ENSG00000111704 H12INVIVO P B
NANOG.H12INVIVO.1.P.B NANOG ENSG00000111704 H12INVIVO P B
NANOG.H12INVIVO.2.M.C NANOG ENSG00000111704 H12INVIVO M C
RFX4.H12INVIVO.0.SM.D RFX4 ENSG00000111783 H12INVIVO SM D
PPARD.H12INVIVO.0.PSM.A PPARD ENSG00000112033 H12INVIVO PSM A
BACH2.H12INVIVO.0.P.B BACH2 ENSG00000112182 H12INVIVO P B
BACH2.H12INVIVO.1.SM.B BACH2 ENSG00000112182 H12INVIVO SM B
E2F3.H12INVIVO.0.P.B E2F3 ENSG00000112242 H12INVIVO P B
E2F3.H12INVIVO.1.SM.B E2F3 ENSG00000112242 H12INVIVO SM B
NR2E1.H12INVIVO.0.SM.D NR2E1 ENSG00000112333 H12INVIVO SM D
NR2E1.H12INVIVO.1.S.D NR2E1 ENSG00000112333 H12INVIVO S D
TFEB.H12INVIVO.0.SM.B TFEB ENSG00000112561 H12INVIVO SM B
TFEB.H12INVIVO.1.P.C TFEB ENSG00000112561 H12INVIVO P C
TBP.H12INVIVO.0.P.B TBP ENSG00000112592 H12INVIVO P B
SRF.H12INVIVO.0.PSM.A SRF ENSG00000112658 H12INVIVO PSM A
TBX18.H12INVIVO.0.M.D TBX18 ENSG00000112837 H12INVIVO M D
HAND1.H12INVIVO.0.P.B HAND1 ENSG00000113196 H12INVIVO P B
HAND1.H12INVIVO.1.P.B HAND1 ENSG00000113196 H12INVIVO P B
SMAD5.H12INVIVO.0.M.D SMAD5 ENSG00000113658 H12INVIVO M D
CDX1.H12INVIVO.0.M.D CDX1 ENSG00000113722 H12INVIVO M D
CDX1.H12INVIVO.1.S.D CDX1 ENSG00000113722 H12INVIVO S D
BCL6.H12INVIVO.0.PSM.A BCL6 ENSG00000113916 H12INVIVO PSM A
FOXP1.H12INVIVO.0.PS.A FOXP1 ENSG00000114861 H12INVIVO PS A
TLX2.H12INVIVO.0.SM.D TLX2 ENSG00000115297 H12INVIVO SM D
STAT1.H12INVIVO.0.P.B STAT1 ENSG00000115415 H12INVIVO P B
STAT1.H12INVIVO.1.P.B STAT1 ENSG00000115415 H12INVIVO P B
OTX1.H12INVIVO.0.SM.D OTX1 ENSG00000115507 H12INVIVO SM D
OTX1.H12INVIVO.1.S.D OTX1 ENSG00000115507 H12INVIVO S D
DLX2.H12INVIVO.0.PSM.A DLX2 ENSG00000115844 H12INVIVO PSM A
DLX2.H12INVIVO.1.S.B DLX2 ENSG00000115844 H12INVIVO S B
EPAS1.H12INVIVO.0.P.B EPAS1 ENSG00000116016 H12INVIVO P B
VAX2.H12INVIVO.0.SM.D VAX2 ENSG00000116035 H12INVIVO SM D
PRRX1.H12INVIVO.0.S.D PRRX1 ENSG00000116132 H12INVIVO S D
PRRX1.H12INVIVO.1.S.D PRRX1 ENSG00000116132 H12INVIVO S D
AP2E.H12INVIVO.0.SM.D AP2E ENSG00000116819 H12INVIVO SM D
NR5A2.H12INVIVO.0.PSM.A NR5A2 ENSG00000116833 H12INVIVO PSM A
ETV3.H12INVIVO.0.SM.D ETV3 ENSG00000117036 H12INVIVO SM D
IRF6.H12INVIVO.0.SM.D IRF6 ENSG00000117595 H12INVIVO SM D
IRF6.H12INVIVO.1.S.D IRF6 ENSG00000117595 H12INVIVO S D
PROX1.H12INVIVO.0.SM.D PROX1 ENSG00000117707 H12INVIVO SM D
KMT2A.H12INVIVO.0.P.B KMT2A ENSG00000118058 H12INVIVO P B
ATF6A.H12INVIVO.0.SM.D ATF6A ENSG00000118217 H12INVIVO SM D
CREB1.H12INVIVO.0.PSM.A CREB1 ENSG00000118260 H12INVIVO PSM A
KLF7.H12INVIVO.0.P.B KLF7 ENSG00000118263 H12INVIVO P B
MYB.H12INVIVO.0.P.B MYB ENSG00000118513 H12INVIVO P B
TCF21.H12INVIVO.0.PS.A TCF21 ENSG00000118526 H12INVIVO PS A
TCF21.H12INVIVO.1.SM.B TCF21 ENSG00000118526 H12INVIVO SM B
FOXO3.H12INVIVO.0.PS.A FOXO3 ENSG00000118689 H12INVIVO PS A
TGIF2.H12INVIVO.0.S.B TGIF2 ENSG00000118707 H12INVIVO S B
TGIF2.H12INVIVO.1.PSM.A TGIF2 ENSG00000118707 H12INVIVO PSM A
KLF12.H12INVIVO.0.P.C KLF12 ENSG00000118922 H12INVIVO P C
KLF12.H12INVIVO.1.PSM.A KLF12 ENSG00000118922 H12INVIVO PSM A
KLF9.H12INVIVO.0.P.B KLF9 ENSG00000119138 H12INVIVO P B
KLF9.H12INVIVO.1.P.B KLF9 ENSG00000119138 H12INVIVO P B
VSX2.H12INVIVO.0.PSM.A VSX2 ENSG00000119614 H12INVIVO PSM A
VSX2.H12INVIVO.1.S.B VSX2 ENSG00000119614 H12INVIVO S B
ERR2.H12INVIVO.0.PSM.A ERR2 ENSG00000119715 H12INVIVO PSM A
MXI1.H12INVIVO.0.P.B MXI1 ENSG00000119950 H12INVIVO P B
MSX2.H12INVIVO.0.SM.D MSX2 ENSG00000120149 H12INVIVO SM D
MSX2.H12INVIVO.1.SM.D MSX2 ENSG00000120149 H12INVIVO SM D
ELF1.H12INVIVO.0.PSM.A ELF1 ENSG00000120690 H12INVIVO PSM A
EGR1.H12INVIVO.0.PS.A EGR1 ENSG00000120738 H12INVIVO PS A
NR2C1.H12INVIVO.0.S.C NR2C1 ENSG00000120798 H12INVIVO S C
NR2C1.H12INVIVO.1.PM.A NR2C1 ENSG00000120798 H12INVIVO PM A
NFYB.H12INVIVO.0.P.B NFYB ENSG00000120837 H12INVIVO P B
TBX2.H12INVIVO.0.SM.D TBX2 ENSG00000121068 H12INVIVO SM D
TBX4.H12INVIVO.0.PS.A TBX4 ENSG00000121075 H12INVIVO PS A
TBX4.H12INVIVO.1.S.B TBX4 ENSG00000121075 H12INVIVO S B
LHX4.H12INVIVO.0.SM.D LHX4 ENSG00000121454 H12INVIVO SM D
STF1.H12INVIVO.0.PSM.A STF1 ENSG00000136931 H12INVIVO PSM A
MYOG.H12INVIVO.0.PSM.A MYOG ENSG00000122180 H12INVIVO PSM A
EGR2.H12INVIVO.0.PSM.A EGR2 ENSG00000122877 H12INVIVO PSM A
NR4A1.H12INVIVO.0.PSM.A NR4A1 ENSG00000123358 H12INVIVO PSM A
NFE2.H12INVIVO.0.P.B NFE2 ENSG00000123405 H12INVIVO P B
NFE2.H12INVIVO.1.SM.B NFE2 ENSG00000123405 H12INVIVO SM B
ESX1.H12INVIVO.0.SM.D ESX1 ENSG00000123576 H12INVIVO SM D
ESX1.H12INVIVO.1.S.D ESX1 ENSG00000123576 H12INVIVO S D
BATF3.H12INVIVO.0.P.B BATF3 ENSG00000123685 H12INVIVO P B
BATF3.H12INVIVO.1.P.B BATF3 ENSG00000123685 H12INVIVO P B
BATF3.H12INVIVO.2.SM.B BATF3 ENSG00000123685 H12INVIVO SM B
MAD4.H12INVIVO.0.P.C MAD4 ENSG00000123933 H12INVIVO P C
CTCFL.H12INVIVO.0.P.B CTCFL ENSG00000124092 H12INVIVO P B
SNAI1.H12INVIVO.0.PSM.A SNAI1 ENSG00000124216 H12INVIVO PSM A
