HOCOID SYMBOL ENSEMBL COLLECTION EXPERIMENT QUALITY
HXA2.H12INVIVO.0.SM.D HXA2 ENSG00000105996 H12INVIVO SM D
HXA4.H12INVIVO.0.SM.D HXA4 ENSG00000197576 H12INVIVO SM D
HXA5.H12INVIVO.0.SM.D HXA5 ENSG00000106004 H12INVIVO SM D
HXA6.H12INVIVO.0.SM.D HXA6 ENSG00000106006 H12INVIVO SM D
HXA7.H12INVIVO.0.SM.D HXA7 ENSG00000122592 H12INVIVO SM D
HXA9.H12INVIVO.0.P.B HXA9 ENSG00000078399 H12INVIVO P B
HXA9.H12INVIVO.1.SM.B HXA9 ENSG00000078399 H12INVIVO SM B
HXA9.H12INVIVO.2.P.B HXA9 ENSG00000078399 H12INVIVO P B
HXB13.H12INVIVO.0.PS.A HXB13 ENSG00000159184 H12INVIVO PS A
HXB13.H12INVIVO.1.SM.B HXB13 ENSG00000159184 H12INVIVO SM B
HXB1.H12INVIVO.0.SM.D HXB1 ENSG00000120094 H12INVIVO SM D
HXB2.H12INVIVO.0.SM.D HXB2 ENSG00000173917 H12INVIVO SM D
HXB3.H12INVIVO.0.S.D HXB3 ENSG00000120093 H12INVIVO S D
HXB4.H12INVIVO.0.P.B HXB4 ENSG00000182742 H12INVIVO P B
HXB4.H12INVIVO.1.PSM.A HXB4 ENSG00000182742 H12INVIVO PSM A
HXB5.H12INVIVO.0.SM.D HXB5 ENSG00000120075 H12INVIVO SM D
HXB6.H12INVIVO.0.SM.D HXB6 ENSG00000108511 H12INVIVO SM D
HXB7.H12INVIVO.0.P.C HXB7 ENSG00000260027 H12INVIVO P C
HXB7.H12INVIVO.1.SM.B HXB7 ENSG00000260027 H12INVIVO SM B
HXB8.H12INVIVO.0.PSM.A HXB8 ENSG00000120068 H12INVIVO PSM A
HXB9.H12INVIVO.0.S.D HXB9 ENSG00000170689 H12INVIVO S D
HXB9.H12INVIVO.1.M.D HXB9 ENSG00000170689 H12INVIVO M D
HXC10.H12INVIVO.0.P.B HXC10 ENSG00000180818 H12INVIVO P B
HXC10.H12INVIVO.1.S.B HXC10 ENSG00000180818 H12INVIVO S B
HXC10.H12INVIVO.2.SM.B HXC10 ENSG00000180818 H12INVIVO SM B
HXC11.H12INVIVO.0.SM.D HXC11 ENSG00000123388 H12INVIVO SM D
HXC11.H12INVIVO.1.S.D HXC11 ENSG00000123388 H12INVIVO S D
HXC12.H12INVIVO.0.SM.D HXC12 ENSG00000123407 H12INVIVO SM D
HXC13.H12INVIVO.0.SM.D HXC13 ENSG00000123364 H12INVIVO SM D
HXC4.H12INVIVO.0.SM.D HXC4 ENSG00000198353 H12INVIVO SM D
HXC8.H12INVIVO.0.SM.D HXC8 ENSG00000037965 H12INVIVO SM D
HXC9.H12INVIVO.0.P.B HXC9 ENSG00000180806 H12INVIVO P B
HXC9.H12INVIVO.1.S.C HXC9 ENSG00000180806 H12INVIVO S C
HXC9.H12INVIVO.2.M.C HXC9 ENSG00000180806 H12INVIVO M C
HXD10.H12INVIVO.0.SM.D HXD10 ENSG00000128710 H12INVIVO SM D
HXD11.H12INVIVO.0.PS.A HXD11 ENSG00000128713 H12INVIVO PS A
HXD11.H12INVIVO.1.SM.B HXD11 ENSG00000128713 H12INVIVO SM B
HXD12.H12INVIVO.0.SM.D HXD12 ENSG00000170178 H12INVIVO SM D
HXD13.H12INVIVO.0.PS.A HXD13 ENSG00000128714 H12INVIVO PS A
HXD13.H12INVIVO.1.SM.B HXD13 ENSG00000128714 H12INVIVO SM B
HXD1.H12INVIVO.0.SM.D HXD1 ENSG00000128645 H12INVIVO SM D
HXD3.H12INVIVO.0.SM.D HXD3 ENSG00000128652 H12INVIVO SM D
HXD4.H12INVIVO.0.SM.D HXD4 ENSG00000170166 H12INVIVO SM D
HXD8.H12INVIVO.0.SM.D HXD8 ENSG00000175879 H12INVIVO SM D
HXD9.H12INVIVO.0.SM.D HXD9 ENSG00000128709 H12INVIVO SM D
LRRF1.H12INVIVO.0.P.B LRRF1 ENSG00000124831 H12INVIVO P B
MCR.H12INVIVO.0.S.D MCR ENSG00000151623 H12INVIVO S D
MCR.H12INVIVO.1.SM.D MCR ENSG00000151623 H12INVIVO SM D
MGAP.H12INVIVO.0.P.C MGAP ENSG00000174197 H12INVIVO P C
MGAP.H12INVIVO.1.S.B MGAP ENSG00000174197 H12INVIVO S B
MLXPL.H12INVIVO.0.S.D MLXPL ENSG00000009950 H12INVIVO S D
MUSC.H12INVIVO.0.SM.D MUSC ENSG00000178860 H12INVIVO SM D
MYBA.H12INVIVO.0.P.B MYBA ENSG00000185697 H12INVIVO P B
MYBA.H12INVIVO.1.PS.A MYBA ENSG00000185697 H12INVIVO PS A
MYBA.H12INVIVO.2.S.B MYBA ENSG00000185697 H12INVIVO S B
MYBB.H12INVIVO.0.S.D MYBB ENSG00000101057 H12INVIVO S D
MYBB.H12INVIVO.1.S.D MYBB ENSG00000101057 H12INVIVO S D
NDF1.H12INVIVO.0.P.B NDF1 ENSG00000162992 H12INVIVO P B
NDF1.H12INVIVO.1.S.C NDF1 ENSG00000162992 H12INVIVO S C
NDF2.H12INVIVO.0.P.B NDF2 ENSG00000171532 H12INVIVO P B
NDF2.H12INVIVO.1.S.B NDF2 ENSG00000171532 H12INVIVO S B
NF2L1.H12INVIVO.0.P.B NF2L1 ENSG00000082641 H12INVIVO P B
NF2L2.H12INVIVO.0.P.B NF2L2 ENSG00000116044 H12INVIVO P B
NF2L2.H12INVIVO.1.P.B NF2L2 ENSG00000116044 H12INVIVO P B
NFAC1.H12INVIVO.0.P.B NFAC1 ENSG00000131196 H12INVIVO P B
NFAC1.H12INVIVO.1.PS.A NFAC1 ENSG00000131196 H12INVIVO PS A
NFAC1.H12INVIVO.2.SM.B NFAC1 ENSG00000131196 H12INVIVO SM B
NFAC1.H12INVIVO.3.SM.B NFAC1 ENSG00000131196 H12INVIVO SM B
NFAC2.H12INVIVO.0.P.B NFAC2 ENSG00000101096 H12INVIVO P B
NFAC2.H12INVIVO.1.PS.A NFAC2 ENSG00000101096 H12INVIVO PS A
NFAC2.H12INVIVO.2.S.C NFAC2 ENSG00000101096 H12INVIVO S C
NFAC2.H12INVIVO.3.M.C NFAC2 ENSG00000101096 H12INVIVO M C
NFAC2.H12INVIVO.4.M.B NFAC2 ENSG00000101096 H12INVIVO M B
NFAC3.H12INVIVO.0.SM.B NFAC3 ENSG00000072736 H12INVIVO SM B
NFAC3.H12INVIVO.1.P.C NFAC3 ENSG00000072736 H12INVIVO P C
NFAC4.H12INVIVO.0.P.D NFAC4 ENSG00000100968 H12INVIVO P D
NFAC4.H12INVIVO.1.SM.D NFAC4 ENSG00000100968 H12INVIVO SM D
NKX21.H12INVIVO.0.P.B NKX21 ENSG00000136352 H12INVIVO P B
NKX22.H12INVIVO.0.P.B NKX22 ENSG00000125820 H12INVIVO P B
NKX23.H12INVIVO.0.SM.D NKX23 ENSG00000119919 H12INVIVO SM D
NKX25.H12INVIVO.0.PSM.A NKX25 ENSG00000183072 H12INVIVO PSM A
NKX25.H12INVIVO.1.P.B NKX25 ENSG00000183072 H12INVIVO P B
NKX28.H12INVIVO.0.SM.D NKX28 ENSG00000136327 H12INVIVO SM D
NKX31.H12INVIVO.0.PSM.A NKX31 ENSG00000167034 H12INVIVO PSM A
NKX32.H12INVIVO.0.PSM.A NKX32 ENSG00000109705 H12INVIVO PSM A
NKX32.H12INVIVO.1.S.B NKX32 ENSG00000109705 H12INVIVO S B
NKX61.H12INVIVO.0.PS.A NKX61 ENSG00000163623 H12INVIVO PS A
NKX61.H12INVIVO.1.P.B NKX61 ENSG00000163623 H12INVIVO P B
NKX61.H12INVIVO.2.S.B NKX61 ENSG00000163623 H12INVIVO S B
NKX62.H12INVIVO.0.SM.D NKX62 ENSG00000148826 H12INVIVO SM D
NKX63.H12INVIVO.0.SM.D NKX63 ENSG00000165066 H12INVIVO SM D
ONEC2.H12INVIVO.0.S.B ONEC2 ENSG00000119547 H12INVIVO S B
ONEC2.H12INVIVO.1.PM.A ONEC2 ENSG00000119547 H12INVIVO PM A
ONEC2.H12INVIVO.2.S.B ONEC2 ENSG00000119547 H12INVIVO S B
ONEC2.H12INVIVO.3.P.B ONEC2 ENSG00000119547 H12INVIVO P B
ONEC3.H12INVIVO.0.S.D ONEC3 ENSG00000205922 H12INVIVO S D
ONEC3.H12INVIVO.1.S.D ONEC3 ENSG00000205922 H12INVIVO S D
ONEC3.H12INVIVO.2.M.D ONEC3 ENSG00000205922 H12INVIVO M D
P5F1B.H12INVIVO.0.S.D P5F1B ENSG00000212993 H12INVIVO S D
PHX2A.H12INVIVO.0.PS.A PHX2A ENSG00000165462 H12INVIVO PS A
PHX2A.H12INVIVO.1.SM.B PHX2A ENSG00000165462 H12INVIVO SM B
PHX2B.H12INVIVO.0.PSM.A PHX2B ENSG00000109132 H12INVIVO PSM A
PHX2B.H12INVIVO.1.SM.B PHX2B ENSG00000109132 H12INVIVO SM B
PKNX1.H12INVIVO.0.P.B PKNX1 ENSG00000160199 H12INVIVO P B
PKNX1.H12INVIVO.1.P.B PKNX1 ENSG00000160199 H12INVIVO P B
PKNX1.H12INVIVO.2.SM.B PKNX1 ENSG00000160199 H12INVIVO SM B
PKNX1.H12INVIVO.3.SM.B PKNX1 ENSG00000160199 H12INVIVO SM B
PKNX2.H12INVIVO.0.SM.D PKNX2 ENSG00000165495 H12INVIVO SM D
PKNX2.H12INVIVO.1.SM.D PKNX2 ENSG00000165495 H12INVIVO SM D
PO2F1.H12INVIVO.0.PS.A PO2F1 ENSG00000143190 H12INVIVO PS A
PO2F2.H12INVIVO.0.PSM.A PO2F2 ENSG00000028277 H12INVIVO PSM A
PO2F2.H12INVIVO.1.M.C PO2F2 ENSG00000028277 H12INVIVO M C
PO2F2.H12INVIVO.2.S.B PO2F2 ENSG00000028277 H12INVIVO S B
PO2F3.H12INVIVO.0.PS.A PO2F3 ENSG00000137709 H12INVIVO PS A
PO2F3.H12INVIVO.1.S.C PO2F3 ENSG00000137709 H12INVIVO S C
PO3F1.H12INVIVO.0.P.B PO3F1 ENSG00000185668 H12INVIVO P B
PO3F1.H12INVIVO.1.PS.A PO3F1 ENSG00000185668 H12INVIVO PS A
PO3F1.H12INVIVO.2.S.C PO3F1 ENSG00000185668 H12INVIVO S C
PO3F1.H12INVIVO.3.M.C PO3F1 ENSG00000185668 H12INVIVO M C
PO3F2.H12INVIVO.0.P.B PO3F2 ENSG00000184486 H12INVIVO P B
PO3F2.H12INVIVO.1.S.B PO3F2 ENSG00000184486 H12INVIVO S B
PO3F2.H12INVIVO.2.SM.B PO3F2 ENSG00000184486 H12INVIVO SM B
PO3F3.H12INVIVO.0.P.C PO3F3 ENSG00000198914 H12INVIVO P C
PO3F3.H12INVIVO.1.P.C PO3F3 ENSG00000198914 H12INVIVO P C
PO3F3.H12INVIVO.2.S.B PO3F3 ENSG00000198914 H12INVIVO S B
PO3F4.H12INVIVO.0.SM.D PO3F4 ENSG00000196767 H12INVIVO SM D
PO4F1.H12INVIVO.0.S.D PO4F1 ENSG00000152192 H12INVIVO S D
PO4F1.H12INVIVO.1.SM.D PO4F1 ENSG00000152192 H12INVIVO SM D
PO4F2.H12INVIVO.0.S.D PO4F2 ENSG00000151615 H12INVIVO S D
PO4F3.H12INVIVO.0.SM.D PO4F3 ENSG00000091010 H12INVIVO SM D
PO5F1.H12INVIVO.0.P.B PO5F1 ENSG00000204531 H12INVIVO P B
PO5F1.H12INVIVO.1.P.B PO5F1 ENSG00000204531 H12INVIVO P B
PO5F1.H12INVIVO.2.SM.B PO5F1 ENSG00000204531 H12INVIVO SM B
PO6F1.H12INVIVO.0.SM.D PO6F1 ENSG00000184271 H12INVIVO SM D
PO6F2.H12INVIVO.0.S.D PO6F2 ENSG00000106536 H12INVIVO S D
PRD13.H12INVIVO.0.P.B PRD13 ENSG00000112238 H12INVIVO P B
PRD14.H12INVIVO.0.P.B PRD14 ENSG00000147596 H12INVIVO P B
PRD15.H12INVIVO.0.P.B PRD15 ENSG00000141956 H12INVIVO P B
PRD16.H12INVIVO.0.P.B PRD16 ENSG00000142611 H12INVIVO P B
PRGR.H12INVIVO.0.P.B PRGR ENSG00000082175 H12INVIVO P B
PRGR.H12INVIVO.1.P.B PRGR ENSG00000082175 H12INVIVO P B
RHXF1.H12INVIVO.0.SM.D RHXF1 ENSG00000101883 H12INVIVO SM D
RHXF2.H12INVIVO.0.SM.D RHXF2 ENSG00000131721 H12INVIVO SM D
SOLH2.H12INVIVO.0.S.D SOLH2 ENSG00000120669 H12INVIVO S D
SRBP1.H12INVIVO.0.P.B SRBP1 ENSG00000072310 H12INVIVO P B
SRBP1.H12INVIVO.1.S.C SRBP1 ENSG00000072310 H12INVIVO S C
SRBP2.H12INVIVO.0.S.B SRBP2 ENSG00000198911 H12INVIVO S B
SRBP2.H12INVIVO.1.P.B SRBP2 ENSG00000198911 H12INVIVO P B
SRBP2.H12INVIVO.2.M.C SRBP2 ENSG00000198911 H12INVIVO M C
STA5A.H12INVIVO.0.P.B STA5A ENSG00000126561 H12INVIVO P B
STA5B.H12INVIVO.0.P.B STA5B ENSG00000173757 H12INVIVO P B
TF2L1.H12INVIVO.0.PSM.A TF2L1 ENSG00000115112 H12INVIVO PSM A
TF2L1.H12INVIVO.1.P.B TF2L1 ENSG00000115112 H12INVIVO P B
TF2LX.H12INVIVO.0.SM.D TF2LX ENSG00000153779 H12INVIVO SM D
TF2LX.H12INVIVO.1.SM.D TF2LX ENSG00000153779 H12INVIVO SM D
TF2LY.H12INVIVO.0.SM.D TF2LY ENSG00000176679 H12INVIVO SM D
TF2LY.H12INVIVO.1.SM.D TF2LY ENSG00000176679 H12INVIVO SM D
TF65.H12INVIVO.0.P.B TF65 ENSG00000173039 H12INVIVO P B
TF7L1.H12INVIVO.0.PM.A TF7L1 ENSG00000152284 H12INVIVO PM A
TF7L1.H12INVIVO.1.P.C TF7L1 ENSG00000152284 H12INVIVO P C
TF7L1.H12INVIVO.2.S.C TF7L1 ENSG00000152284 H12INVIVO S C
TF7L2.H12INVIVO.0.P.B TF7L2 ENSG00000148737 H12INVIVO P B
TFE2.H12INVIVO.0.PS.A TFE2 ENSG00000071564 H12INVIVO PS A
THA.H12INVIVO.0.P.B THA ENSG00000126351 H12INVIVO P B
THA.H12INVIVO.1.PS.A THA ENSG00000126351 H12INVIVO PS A
THA.H12INVIVO.2.S.B THA ENSG00000126351 H12INVIVO S B
THB.H12INVIVO.0.P.B THB ENSG00000151090 H12INVIVO P B
THB.H12INVIVO.1.PSM.A THB ENSG00000151090 H12INVIVO PSM A
THB.H12INVIVO.2.SM.B THB ENSG00000151090 H12INVIVO SM B
THB.H12INVIVO.3.S.C THB ENSG00000151090 H12INVIVO S C
TWST1.H12INVIVO.0.P.B TWST1 ENSG00000122691 H12INVIVO P B
TWST1.H12INVIVO.1.P.B TWST1 ENSG00000122691 H12INVIVO P B
TWST2.H12INVIVO.0.P.B TWST2 ENSG00000233608 H12INVIVO P B
TWST2.H12INVIVO.1.P.B TWST2 ENSG00000233608 H12INVIVO P B
TYY1.H12INVIVO.0.PSM.A TYY1 ENSG00000100811 H12INVIVO PSM A
TYY1.H12INVIVO.1.S.B TYY1 ENSG00000100811 H12INVIVO S B
TYY2.H12INVIVO.0.PS.A TYY2 ENSG00000230797 H12INVIVO PS A
TYY2.H12INVIVO.1.SM.B TYY2 ENSG00000230797 H12INVIVO SM B
UBIP1.H12INVIVO.0.SM.D UBIP1 ENSG00000153560 H12INVIVO SM D
UNC4.H12INVIVO.0.S.D UNC4 ENSG00000164853 H12INVIVO S D
UNC4.H12INVIVO.1.S.D UNC4 ENSG00000164853 H12INVIVO S D
YBOX1.H12INVIVO.0.SM.D YBOX1 ENSG00000065978 H12INVIVO SM D
Z280A.H12INVIVO.0.P.B Z280A ENSG00000169548 H12INVIVO P B
Z324A.H12INVIVO.0.P.B Z324A ENSG00000083812 H12INVIVO P B
Z354A.H12INVIVO.0.P.B Z354A ENSG00000169131 H12INVIVO P B
Z585A.H12INVIVO.0.P.C Z585A ENSG00000196967 H12INVIVO P C
Z585B.H12INVIVO.0.P.C Z585B ENSG00000245680 H12INVIVO P C
Z705G.H12INVIVO.0.P.C Z705G ENSG00000215372 H12INVIVO P C
Z780A.H12INVIVO.0.P.C Z780A ENSG00000197782 H12INVIVO P C
ZBT12.H12INVIVO.0.P.B ZBT12 ENSG00000204366 H12INVIVO P B
ZBT14.H12INVIVO.0.P.C ZBT14 ENSG00000198081 H12INVIVO P C
ZBT14.H12INVIVO.1.S.B ZBT14 ENSG00000198081 H12INVIVO S B
ZBT16.H12INVIVO.0.P.B ZBT16 ENSG00000109906 H12INVIVO P B
ZBT17.H12INVIVO.0.P.B ZBT17 ENSG00000116809 H12INVIVO P B
ZBT18.H12INVIVO.0.PSM.A ZBT18 ENSG00000179456 H12INVIVO PSM A
ZBT20.H12INVIVO.0.SM.D ZBT20 ENSG00000181722 H12INVIVO SM D
ZBT22.H12INVIVO.0.SM.D ZBT22 ENSG00000236104 H12INVIVO SM D
ZBT24.H12INVIVO.0.P.B ZBT24 ENSG00000112365 H12INVIVO P B
ZBT26.H12INVIVO.0.PSM.A ZBT26 ENSG00000171448 H12INVIVO PSM A
ZBT26.H12INVIVO.1.SM.B ZBT26 ENSG00000171448 H12INVIVO SM B
ZBT37.H12INVIVO.0.M.D ZBT37 ENSG00000185278 H12INVIVO M D
ZBT40.H12INVIVO.0.P.B ZBT40 ENSG00000184677 H12INVIVO P B
ZBT42.H12INVIVO.0.P.C ZBT42 ENSG00000179627 H12INVIVO P C
ZBT43.H12INVIVO.0.S.D ZBT43 ENSG00000169155 H12INVIVO S D
ZBT44.H12INVIVO.0.P.C ZBT44 ENSG00000196323 H12INVIVO P C
ZBT45.H12INVIVO.0.SM.D ZBT45 ENSG00000119574 H12INVIVO SM D
ZBT49.H12INVIVO.0.P.C ZBT49 ENSG00000168826 H12INVIVO P C
ZBT7A.H12INVIVO.0.P.B ZBT7A ENSG00000178951 H12INVIVO P B
ZBT7A.H12INVIVO.1.SM.B ZBT7A ENSG00000178951 H12INVIVO SM B
ZBT7B.H12INVIVO.0.SM.D ZBT7B ENSG00000160685 H12INVIVO SM D
ZBT7C.H12INVIVO.0.S.D ZBT7C ENSG00000184828 H12INVIVO S D
ZF64B.H12INVIVO.0.P.B ZF64B ENSG00000020256 H12INVIVO P B
ZF64B.H12INVIVO.1.P.B ZF64B ENSG00000020256 H12INVIVO P B
ZF69B.H12INVIVO.0.P.C ZF69B ENSG00000187801 H12INVIVO P C
ZKSC1.H12INVIVO.0.P.B ZKSC1 ENSG00000106261 H12INVIVO P B
ZKSC5.H12INVIVO.0.P.C ZKSC5 ENSG00000196652 H12INVIVO P C
ZKSC8.H12INVIVO.0.P.B ZKSC8 ENSG00000198315 H12INVIVO P B
ZKSC8.H12INVIVO.1.P.B ZKSC8 ENSG00000198315 H12INVIVO P B
ZN100.H12INVIVO.0.P.B ZN100 ENSG00000197020 H12INVIVO P B
ZN100.H12INVIVO.1.P.B ZN100 ENSG00000197020 H12INVIVO P B
ZN101.H12INVIVO.0.P.C ZN101 ENSG00000181896 H12INVIVO P C
ZN112.H12INVIVO.0.P.C ZN112 ENSG00000062370 H12INVIVO P C
ZN121.H12INVIVO.0.P.B ZN121 ENSG00000197961 H12INVIVO P B
ZN124.H12INVIVO.0.P.C ZN124 ENSG00000196418 H12INVIVO P C
ZN132.H12INVIVO.0.P.C ZN132 ENSG00000131849 H12INVIVO P C
ZN133.H12INVIVO.0.P.B ZN133 ENSG00000125846 H12INVIVO P B
ZN134.H12INVIVO.0.P.C ZN134 ENSG00000213762 H12INVIVO P C
ZN134.H12INVIVO.1.P.C ZN134 ENSG00000213762 H12INVIVO P C
ZN135.H12INVIVO.0.P.C ZN135 ENSG00000176293 H12INVIVO P C
ZN136.H12INVIVO.0.P.B ZN136 ENSG00000196646 H12INVIVO P B
ZN140.H12INVIVO.0.P.B ZN140 ENSG00000196387 H12INVIVO P B
ZN140.H12INVIVO.1.SM.B ZN140 ENSG00000196387 H12INVIVO SM B
ZN141.H12INVIVO.0.P.C ZN141 ENSG00000131127 H12INVIVO P C
ZN143.H12INVIVO.0.P.B ZN143 ENSG00000166478 H12INVIVO P B
ZN148.H12INVIVO.0.P.B ZN148 ENSG00000163848 H12INVIVO P B
ZN154.H12INVIVO.0.P.C ZN154 ENSG00000179909 H12INVIVO P C
ZN157.H12INVIVO.0.P.B ZN157 ENSG00000147117 H12INVIVO P B
ZN160.H12INVIVO.0.P.C ZN160 ENSG00000170949 H12INVIVO P C
ZN165.H12INVIVO.0.P.C ZN165 ENSG00000197279 H12INVIVO P C
ZN174.H12INVIVO.0.M.D ZN174 ENSG00000103343 H12INVIVO M D
ZN177.H12INVIVO.0.SM.D ZN177 ENSG00000188629 H12INVIVO SM D
ZN180.H12INVIVO.0.P.C ZN180 ENSG00000167384 H12INVIVO P C
ZN184.H12INVIVO.0.P.B ZN184 ENSG00000096654 H12INVIVO P B
ZN189.H12INVIVO.0.P.B ZN189 ENSG00000136870 H12INVIVO P B
ZN189.H12INVIVO.1.P.B ZN189 ENSG00000136870 H12INVIVO P B
ZN197.H12INVIVO.0.P.C ZN197 ENSG00000186448 H12INVIVO P C
ZN205.H12INVIVO.0.P.C ZN205 ENSG00000122386 H12INVIVO P C
ZN211.H12INVIVO.0.P.B ZN211 ENSG00000121417 H12INVIVO P B
ZN211.H12INVIVO.1.P.C ZN211 ENSG00000121417 H12INVIVO P C
ZN213.H12INVIVO.0.P.C ZN213 ENSG00000085644 H12INVIVO P C
ZN214.H12INVIVO.0.P.B ZN214 ENSG00000149050 H12INVIVO P B
ZN222.H12INVIVO.0.P.C ZN222 ENSG00000159885 H12INVIVO P C
ZN223.H12INVIVO.0.P.C ZN223 ENSG00000178386 H12INVIVO P C
ZN224.H12INVIVO.0.P.B ZN224 ENSG00000267680 H12INVIVO P B
ZN239.H12INVIVO.0.P.C ZN239 ENSG00000196793 H12INVIVO P C
ZN248.H12INVIVO.0.P.B ZN248 ENSG00000198105 H12INVIVO P B
ZN250.H12INVIVO.0.P.C ZN250 ENSG00000196150 H12INVIVO P C
ZN250.H12INVIVO.1.M.C ZN250 ENSG00000196150 H12INVIVO M C
ZN251.H12INVIVO.0.P.C ZN251 ENSG00000198169 H12INVIVO P C
ZN254.H12INVIVO.0.P.C ZN254 ENSG00000213096 H12INVIVO P C
ZN257.H12INVIVO.0.P.B ZN257 ENSG00000197134 H12INVIVO P B
ZN260.H12INVIVO.0.P.C ZN260 ENSG00000254004 H12INVIVO P C
ZN263.H12INVIVO.0.PM.A ZN263 ENSG00000006194 H12INVIVO PM A
ZN263.H12INVIVO.1.P.B ZN263 ENSG00000006194 H12INVIVO P B
ZN264.H12INVIVO.0.P.B ZN264 ENSG00000083844 H12INVIVO P B
ZN266.H12INVIVO.0.P.B ZN266 ENSG00000174652 H12INVIVO P B
ZN267.H12INVIVO.0.P.C ZN267 ENSG00000185947 H12INVIVO P C
ZN273.H12INVIVO.0.P.C ZN273 ENSG00000198039 H12INVIVO P C
ZN274.H12INVIVO.0.SM.B ZN274 ENSG00000171606 H12INVIVO SM B
ZN274.H12INVIVO.1.P.B ZN274 ENSG00000171606 H12INVIVO P B
ZN274.H12INVIVO.2.P.B ZN274 ENSG00000171606 H12INVIVO P B
ZN276.H12INVIVO.0.SM.D ZN276 ENSG00000158805 H12INVIVO SM D
ZN281.H12INVIVO.0.P.B ZN281 ENSG00000162702 H12INVIVO P B
ZN281.H12INVIVO.1.SM.B ZN281 ENSG00000162702 H12INVIVO SM B
ZN282.H12INVIVO.0.P.B ZN282 ENSG00000170265 H12INVIVO P B
ZN283.H12INVIVO.0.P.C ZN283 ENSG00000167637 H12INVIVO P C
ZN284.H12INVIVO.0.P.C ZN284 ENSG00000186026 H12INVIVO P C
ZN285.H12INVIVO.0.P.C ZN285 ENSG00000267508 H12INVIVO P C
ZN296.H12INVIVO.0.S.D ZN296 ENSG00000170684 H12INVIVO S D
ZN302.H12INVIVO.0.P.B ZN302 ENSG00000089335 H12INVIVO P B
ZN304.H12INVIVO.0.P.C ZN304 ENSG00000131845 H12INVIVO P C
ZN316.H12INVIVO.0.P.C ZN316 ENSG00000205903 H12INVIVO P C
ZN317.H12INVIVO.0.P.B ZN317 ENSG00000130803 H12INVIVO P B
ZN317.H12INVIVO.1.P.B ZN317 ENSG00000130803 H12INVIVO P B
ZN320.H12INVIVO.0.P.B ZN320 ENSG00000182986 H12INVIVO P B
ZN320.H12INVIVO.1.P.B ZN320 ENSG00000182986 H12INVIVO P B
ZN322.H12INVIVO.0.P.C ZN322 ENSG00000181315 H12INVIVO P C
ZN329.H12INVIVO.0.P.C ZN329 ENSG00000181894 H12INVIVO P C
ZN329.H12INVIVO.1.P.C ZN329 ENSG00000181894 H12INVIVO P C
ZN331.H12INVIVO.0.P.B ZN331 ENSG00000130844 H12INVIVO P B
ZN333.H12INVIVO.0.P.C ZN333 ENSG00000160961 H12INVIVO P C
ZN335.H12INVIVO.0.P.B ZN335 ENSG00000198026 H12INVIVO P B
ZN335.H12INVIVO.1.P.D ZN335 ENSG00000198026 H12INVIVO P D
ZN337.H12INVIVO.0.P.C ZN337 ENSG00000130684 H12INVIVO P C
ZN33B.H12INVIVO.0.P.C ZN33B ENSG00000196693 H12INVIVO P C
ZN341.H12INVIVO.0.P.B ZN341 ENSG00000131061 H12INVIVO P B
ZN341.H12INVIVO.1.P.B ZN341 ENSG00000131061 H12INVIVO P B
ZN343.H12INVIVO.0.PSM.A ZN343 ENSG00000088876 H12INVIVO PSM A
ZN350.H12INVIVO.0.P.B ZN350 ENSG00000256683 H12INVIVO P B
ZN362.H12INVIVO.0.P.C ZN362 ENSG00000160094 H12INVIVO P C
ZN37A.H12INVIVO.0.P.B ZN37A ENSG00000075407 H12INVIVO P B
ZN382.H12INVIVO.0.P.B ZN382 ENSG00000161298 H12INVIVO P B
ZN383.H12INVIVO.0.P.C ZN383 ENSG00000188283 H12INVIVO P C
ZN384.H12INVIVO.0.PSM.A ZN384 ENSG00000126746 H12INVIVO PSM A
ZN394.H12INVIVO.0.P.C ZN394 ENSG00000160908 H12INVIVO P C
ZN407.H12INVIVO.0.P.B ZN407 ENSG00000215421 H12INVIVO P B
ZN410.H12INVIVO.0.SM.D ZN410 ENSG00000119725 H12INVIVO SM D
ZN416.H12INVIVO.0.P.C ZN416 ENSG00000083817 H12INVIVO P C
ZN417.H12INVIVO.0.P.C ZN417 ENSG00000173480 H12INVIVO P C
ZN418.H12INVIVO.0.P.B ZN418 ENSG00000196724 H12INVIVO P B
ZN423.H12INVIVO.0.P.C ZN423 ENSG00000102935 H12INVIVO P C
ZN425.H12INVIVO.0.P.C ZN425 ENSG00000204947 H12INVIVO P C
ZN429.H12INVIVO.0.P.C ZN429 ENSG00000197013 H12INVIVO P C
ZN430.H12INVIVO.0.P.C ZN430 ENSG00000118620 H12INVIVO P C
ZN431.H12INVIVO.0.P.C ZN431 ENSG00000196705 H12INVIVO P C
ZN432.H12INVIVO.0.P.C ZN432 ENSG00000256087 H12INVIVO P C
ZN433.H12INVIVO.0.P.C ZN433 ENSG00000197647 H12INVIVO P C
ZN433.H12INVIVO.1.P.C ZN433 ENSG00000197647 H12INVIVO P C
ZN436.H12INVIVO.0.P.C ZN436 ENSG00000125945 H12INVIVO P C
ZN440.H12INVIVO.0.P.C ZN440 ENSG00000171295 H12INVIVO P C
ZN441.H12INVIVO.0.P.C ZN441 ENSG00000197044 H12INVIVO P C
ZN441.H12INVIVO.1.P.C ZN441 ENSG00000197044 H12INVIVO P C
ZN443.H12INVIVO.0.P.C ZN443 ENSG00000180855 H12INVIVO P C
