SYMBOL ENSEMBL HOCOID
Gsc ENSMUSG00000021095 GSC.0.SM.D
Gsc2 ENSMUSG00000022738 GSC2.0.SM.D
Gsx1 ENSMUSG00000053129 GSX1.0.SM.D
Gsx2 ENSMUSG00000035946 GSX2.0.SM.D
Hand1 ENSMUSG00000037335 HAND1.0.P.B
Hand1 ENSMUSG00000037335 HAND1.1.P.B
Hand2 ENSMUSG00000038193 HAND2.0.P.B
Hand2 ENSMUSG00000038193 HAND2.1.P.B
Hand2 ENSMUSG00000038193 HAND2.2.S.C
Nhlh1 ENSMUSG00000051251 HEN1.0.S.D
Nhlh2 ENSMUSG00000048540 HEN2.0.SM.D
Hes1 ENSMUSG00000022528 HES1.0.S.D
Hes1 ENSMUSG00000022528 HES1.1.S.D
Hes2 ENSMUSG00000028940 HES2.0.S.D
Hes5 ENSMUSG00000048001 HES5.0.SM.D
Hes7 ENSMUSG00000023781 HES7.0.S.D
Hesx1 ENSMUSG00000040726 HESX1.0.SM.D
Hesx1 ENSMUSG00000040726 HESX1.1.S.D
Hey1 ENSMUSG00000040289 HEY1.0.S.D
Hey2 ENSMUSG00000019789 HEY2.0.S.D
Hic1 ENSMUSG00000043099 HIC1.0.PSM.A
Hic2 ENSMUSG00000050240 HIC2.0.P.B
Hif1a ENSMUSG00000021109 HIF1A.0.P.B
Hif1a ENSMUSG00000021109 HIF1A.1.P.B
Hif3a ENSMUSG00000004328 HIF3A.0.P.C
Hif3a ENSMUSG00000004328 HIF3A.1.P.C
Hinfp ENSMUSG00000032119 HINFP.0.P.B
Hinfp ENSMUSG00000032119 HINFP.1.P.B
Hinfp ENSMUSG00000032119 HINFP.2.S.B
Hlf ENSMUSG00000003949 HLF.0.P.B
Hlf ENSMUSG00000003949 HLF.1.SM.B
Hmbox1 ENSMUSG00000021972 HMBX1.0.PSM.A
En1 ENSMUSG00000058665 HME1.0.PSM.A
En2 ENSMUSG00000039095 HME2.0.SM.D
Hmga1 ENSMUSG00000046711 HMGA1.0.P.B
Hmx1 ENSMUSG00000067438 HMX1.0.SM.D
Hmx2 ENSMUSG00000050100 HMX2.0.SM.D
Hmx3 ENSMUSG00000040148 HMX3.0.S.D
Hnf1a ENSMUSG00000029556 HNF1A.0.PS.A
Hnf1b ENSMUSG00000020679 HNF1B.0.PS.A
Hnf1b ENSMUSG00000020679 HNF1B.1.P.D
Hnf4a ENSMUSG00000017950 HNF4A.0.PSM.A
Hnf4g ENSMUSG00000017688 HNF4G.0.P.B
Onecut1 ENSMUSG00000043013 HNF6.0.PM.A
Onecut1 ENSMUSG00000043013 HNF6.1.S.B
Onecut1 ENSMUSG00000043013 HNF6.2.S.B
Onecut1 ENSMUSG00000043013 HNF6.3.M.B
Homez ENSMUSG00000057156 HOMEZ.0.S.D
Hsf1 ENSMUSG00000022556 HSF1.0.PSM.A
Hsf1 ENSMUSG00000022556 HSF1.1.P.B
Hsf1 ENSMUSG00000022556 HSF1.2.P.B
Hsf2 ENSMUSG00000019878 HSF2.0.PSM.A
Hsf4 ENSMUSG00000033249 HSF4.0.SM.D
Hsf5 ENSMUSG00000070345 HSF5.0.M.D
Hsf5 ENSMUSG00000070345 HSF5.1.S.D
Tcf12 ENSMUSG00000032228 HTF4.0.PSM.A
Hoxa1 ENSMUSG00000029844 HXA1.0.SM.D
Hoxa1 ENSMUSG00000029844 HXA1.1.S.D
Hoxa10 ENSMUSG00000000938 HXA10.0.S.D
Hoxa10 ENSMUSG00000000938 HXA10.1.M.D
Hoxa11 ENSMUSG00000038210 HXA11.0.PS.A
Hoxa11 ENSMUSG00000038210 HXA11.1.SM.B
Hoxa13 ENSMUSG00000038203 HXA13.0.P.B
Hoxa13 ENSMUSG00000038203 HXA13.1.SM.B
Hoxa2 ENSMUSG00000014704 HXA2.0.SM.D
Hoxa4 ENSMUSG00000000942 HXA4.0.SM.D
Hoxa5 ENSMUSG00000038253 HXA5.0.SM.D
Hoxa6 ENSMUSG00000043219 HXA6.0.SM.D
Hoxa7 ENSMUSG00000038236 HXA7.0.SM.D
Hoxa9 ENSMUSG00000038227 HXA9.0.P.B
Hoxa9 ENSMUSG00000038227 HXA9.1.SM.B
Hoxa9 ENSMUSG00000038227 HXA9.2.P.B
Hoxb1 ENSMUSG00000018973 HXB1.0.SM.D
Hoxb13 ENSMUSG00000049604 HXB13.0.PS.A
Hoxb13 ENSMUSG00000049604 HXB13.1.SM.B
Hoxb2 ENSMUSG00000075588 HXB2.0.SM.D
Hoxb3 ENSMUSG00000048763 HXB3.0.S.D
Hoxb4 ENSMUSG00000038692 HXB4.0.P.B
Hoxb4 ENSMUSG00000038692 HXB4.1.PSM.A
Hoxb5 ENSMUSG00000038700 HXB5.0.SM.D
Hoxb6 ENSMUSG00000000690 HXB6.0.SM.D
Hoxb7 ENSMUSG00000038721 HXB7.0.P.C
Hoxb7 ENSMUSG00000038721 HXB7.1.SM.B
Hoxb8 ENSMUSG00000056648 HXB8.0.PSM.A
